# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0.00488759;0.386119;4.88759e-06
0.488759;0.0342131;0.454545;3.42131e-05
0.58651;0.0928641;0.493646;9.28641e-05
0.684262;0.166178;0.518084;0.000166178
0.782014;0.249267;0.532747;0.000249267
0.879765;0.332356;0.54741;0.000332356
0.977517;0.420332;0.557185;0.000420332
1.07527;0.508309;0.56696;0.000508309
1.17302;0.601173;0.571848;0.000601173
1.27077;0.694037;0.576735;0.000694037
1.36852;0.782014;0.58651;0.000782014
1.46628;0.879765;0.58651;0.000879765
1.56403;0.97263;0.591398;0.00097263
1.66178;1.06549;0.596285;0.00106549
1.75953;1.16325;0.596285;0.00116325
1.85728;1.25611;0.601173;0.00125611
1.95503;1.34897;0.606061;0.00134897
2.05279;1.44673;0.606061;0.00144673
2.15054;1.53959;0.610948;0.00153959
2.24829;1.63734;0.610948;0.00163734
2.34604;1.73021;0.615836;0.00173021
2.44379;1.82796;0.615836;0.00182796
2.54154;1.92082;0.620723;0.00192082
2.6393;2.01857;0.620723;0.00201857
2.73705;2.11144;0.625611;0.00211144
2.8348;2.20919;0.625611;0.00220919
2.93255;2.30694;0.625611;0.00230694
3.0303;2.3998;0.630499;0.0023998
3.12805;2.50244;0.625611;0.00250244
3.22581;2.59531;0.630499;0.00259531
3.32356;2.69306;0.630499;0.00269306
3.42131;2.79081;0.630499;0.00279081
3.51906;2.88368;0.635386;0.00288368
3.61681;2.98631;0.630499;0.00298631
3.71457;3.07918;0.635386;0.00307918
3.81232;3.17693;0.635386;0.00317693
3.91007;3.27468;0.635386;0.00327468
4.00782;3.37243;0.635386;0.00337243
4.10557;3.4653;0.640274;0.0034653
4.20332;3.56305;0.640274;0.00356305
4.30108;3.65591;0.645161;0.00365591
4.39883;3.75855;0.640274;0.00375855
4.49658;3.8563;0.640274;0.0038563
4.59433;3.95406;0.640274;0.00395406
4.69208;4.04692;0.645161;0.00404692
4.78983;4.14467;0.645161;0.00414467
4.88759;4.24242;0.645161;0.00424242
4.98534;4.34018;0.645161;0.00434018
