# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0;0.391007;0
0.488759;0;0.488759;0
0.58651;0;0.58651;0
0.684262;0;0.684262;0
0.782014;0;0.782014;0
0.879765;0;0.879765;0
0.977517;0;0.977517;0
1.07527;0;1.07527;0
1.17302;0;1.17302;0
1.27077;0;1.27077;0
1.36852;0;1.36852;0
1.46628;0;1.46628;0
1.56403;0;1.56403;0
1.66178;0.0146628;1.64712;1.46628e-05
1.75953;0.058651;1.70088;5.8651e-05
1.85728;0.131965;1.72532;0.000131965
1.95503;0.210166;1.74487;0.000210166
2.05279;0.293255;1.75953;0.000293255
2.15054;0.381232;1.76931;0.000381232
2.24829;0.469208;1.77908;0.000469208
2.34604;0.562072;1.78397;0.000562072
2.44379;0.650049;1.79374;0.000650049
2.54154;0.742913;1.79863;0.000742913
2.6393;0.835777;1.80352;0.000835777
2.73705;0.928641;1.80841;0.000928641
2.8348;1.02639;1.80841;0.00102639
2.93255;1.11926;1.81329;0.00111926
3.0303;1.21212;1.81818;0.00121212
3.12805;1.30987;1.81818;0.00130987
3.22581;1.40762;1.81818;0.00140762
3.32356;1.50049;1.82307;0.00150049
3.42131;1.59335;1.82796;0.00159335
3.51906;1.6911;1.82796;0.0016911
3.61681;1.78397;1.83284;0.00178397
3.71457;1.88172;1.83284;0.00188172
3.81232;1.97458;1.83773;0.00197458
3.91007;2.06745;1.84262;0.00206745
4.00782;2.1652;1.84262;0.0021652
4.10557;2.26295;1.84262;0.00226295
4.20332;2.3607;1.84262;0.0023607
4.30108;2.45357;1.84751;0.00245357
4.39883;2.55132;1.84751;0.00255132
4.49658;2.64907;1.84751;0.00264907
4.59433;2.74682;1.84751;0.00274682
4.69208;2.83969;1.85239;0.00283969
4.78983;2.93744;1.85239;0.00293744
4.88759;3.0303;1.85728;0.0030303
4.98534;3.12805;1.85728;0.00312805
