# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0;0.391007;0
0.488759;0.0244379;0.464321;2.44379e-05
0.58651;0.0879765;0.498534;8.79765e-05
0.684262;0.166178;0.518084;0.000166178
0.782014;0.249267;0.532747;0.000249267
0.879765;0.337243;0.542522;0.000337243
0.977517;0.42522;0.552297;0.00042522
1.07527;0.513196;0.562072;0.000513196
1.17302;0.606061;0.56696;0.000606061
1.27077;0.698925;0.571848;0.000698925
1.36852;0.791789;0.576735;0.000791789
1.46628;0.884653;0.581623;0.000884653
1.56403;0.977517;0.58651;0.000977517
1.66178;1.07527;0.58651;0.00107527
1.75953;1.17302;0.58651;0.00117302
1.85728;1.26588;0.591398;0.00126588
1.95503;1.35875;0.596285;0.00135875
2.05279;1.4565;0.596285;0.0014565
2.15054;1.54936;0.601173;0.00154936
2.24829;1.64712;0.601173;0.00164712
2.34604;1.73998;0.606061;0.00173998
2.44379;1.83773;0.606061;0.00183773
2.54154;1.93548;0.606061;0.00193548
2.6393;2.02835;0.610948;0.00202835
2.73705;2.13099;0.606061;0.00213099
2.8348;2.22385;0.610948;0.00222385
2.93255;2.3216;0.610948;0.0023216
3.0303;2.41935;0.610948;0.00241935
3.12805;2.51222;0.615836;0.00251222
3.22581;2.61486;0.610948;0.00261486
3.32356;2.71261;0.610948;0.00271261
3.42131;2.80547;0.615836;0.00280547
3.51906;2.90323;0.615836;0.00290323
3.61681;3.00098;0.615836;0.00300098
3.71457;3.09873;0.615836;0.00309873
3.81232;3.19159;0.620723;0.00319159
3.91007;3.28935;0.620723;0.00328935
4.00782;3.39198;0.615836;0.00339198
4.10557;3.48485;0.620723;0.00348485
4.20332;3.5826;0.620723;0.0035826
4.30108;3.68035;0.620723;0.00368035
4.39883;3.7781;0.620723;0.0037781
4.49658;3.87586;0.620723;0.00387586
4.59433;3.97361;0.620723;0.00397361
4.69208;4.07136;0.620723;0.00407136
4.78983;4.16422;0.625611;0.00416422
4.88759;4.26197;0.625611;0.00426197
4.98534;4.35973;0.625611;0.00435973
