# in; out; diff; current
0;0;0;0
0.0977517;0.0439883;0.0537634;4.39883e-05
0.195503;0.117302;0.0782014;0.000117302
0.293255;0.200391;0.0928641;0.000200391
0.391007;0.28348;0.107527;0.00028348
0.488759;0.371457;0.117302;0.000371457
0.58651;0.464321;0.12219;0.000464321
0.684262;0.552297;0.131965;0.000552297
0.782014;0.645161;0.136852;0.000645161
0.879765;0.738025;0.14174;0.000738025
0.977517;0.83089;0.146628;0.00083089
1.07527;0.923754;0.151515;0.000923754
1.17302;1.02151;0.151515;0.00102151
1.27077;1.11437;0.156403;0.00111437
1.36852;1.20723;0.16129;0.00120723
1.46628;1.30499;0.16129;0.00130499
1.56403;1.40274;0.16129;0.00140274
1.66178;1.4956;0.166178;0.0014956
1.75953;1.58847;0.171065;0.00158847
1.85728;1.68622;0.171065;0.00168622
1.95503;1.77908;0.175953;0.00177908
2.05279;1.87683;0.175953;0.00187683
2.15054;1.9697;0.180841;0.0019697
2.24829;2.06256;0.185728;0.00206256
2.34604;2.1652;0.180841;0.0021652
2.44379;2.26295;0.180841;0.00226295
2.54154;2.35582;0.185728;0.00235582
2.6393;2.44868;0.190616;0.00244868
2.73705;2.55132;0.185728;0.00255132
2.8348;2.64907;0.185728;0.00264907
2.93255;2.74194;0.190616;0.00274194
3.0303;2.83969;0.190616;0.00283969
3.12805;2.93255;0.195503;0.00293255
3.22581;3.03519;0.190616;0.00303519
3.32356;3.12805;0.195503;0.00312805
3.42131;3.22581;0.195503;0.00322581
3.51906;3.32356;0.195503;0.00332356
3.61681;3.42131;0.195503;0.00342131
3.71457;3.51906;0.195503;0.00351906
3.81232;3.61681;0.195503;0.00361681
3.91007;3.70968;0.200391;0.00370968
4.00782;3.80743;0.200391;0.00380743
4.10557;3.90518;0.200391;0.00390518
4.20332;3.99804;0.205279;0.00399804
4.30108;4.0958;0.205279;0.0040958
4.39883;4.19355;0.205279;0.00419355
4.49658;4.2913;0.205279;0.0042913
4.59433;4.38416;0.210166;0.00438416
4.69208;4.4868;0.205279;0.0044868
4.78983;4.58456;0.205279;0.00458456
4.88759;4.68231;0.205279;0.00468231
4.98534;4.77517;0.210166;0.00477517
