# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0.00977517;0.381232;9.77517e-06
0.488759;0.0635386;0.42522;6.35386e-05
0.58651;0.136852;0.449658;0.000136852
0.684262;0.219941;0.464321;0.000219941
0.782014;0.307918;0.474096;0.000307918
0.879765;0.400782;0.478983;0.000400782
0.977517;0.488759;0.488759;0.000488759
1.07527;0.581623;0.493646;0.000581623
1.17302;0.679374;0.493646;0.000679374
1.27077;0.767351;0.503421;0.000767351
1.36852;0.860215;0.508309;0.000860215
1.46628;0.957967;0.508309;0.000957967
1.56403;1.05572;0.508309;0.00105572
1.66178;1.14858;0.513196;0.00114858
1.75953;1.24633;0.513196;0.00124633
1.85728;1.34409;0.513196;0.00134409
1.95503;1.43695;0.518084;0.00143695
2.05279;1.5347;0.518084;0.0015347
2.15054;1.62757;0.522972;0.00162757
2.24829;1.72532;0.522972;0.00172532
2.34604;1.81818;0.527859;0.00181818
2.44379;1.91593;0.527859;0.00191593
2.54154;2.01369;0.527859;0.00201369
2.6393;2.11144;0.527859;0.00211144
2.73705;2.20919;0.527859;0.00220919
2.8348;2.30205;0.532747;0.00230205
2.93255;2.3998;0.532747;0.0023998
3.0303;2.49756;0.532747;0.00249756
3.12805;2.59531;0.532747;0.00259531
3.22581;2.69306;0.532747;0.00269306
3.32356;2.79081;0.532747;0.00279081
3.42131;2.88856;0.532747;0.00288856
3.51906;2.98631;0.532747;0.00298631
3.61681;3.08407;0.532747;0.00308407
3.71457;3.18182;0.532747;0.00318182
3.81232;3.27957;0.532747;0.00327957
3.91007;3.37243;0.537634;0.00337243
4.00782;3.47019;0.537634;0.00347019
4.10557;3.57283;0.532747;0.00357283
4.20332;3.66569;0.537634;0.00366569
4.30108;3.76344;0.537634;0.00376344
4.39883;3.86119;0.537634;0.00386119
4.49658;3.95894;0.537634;0.00395894
4.59433;4.0567;0.537634;0.0040567
4.69208;4.14956;0.542522;0.00414956
4.78983;4.24731;0.542522;0.00424731
4.88759;4.34506;0.542522;0.00434506
4.98534;4.44282;0.542522;0.00444282
