# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0.0293255;0.166178;2.93255e-05
0.293255;0.0977517;0.195503;9.77517e-05
0.391007;0.185728;0.205279;0.000185728
0.488759;0.273705;0.215054;0.000273705
0.58651;0.361681;0.224829;0.000361681
0.684262;0.454545;0.229717;0.000454545
0.782014;0.542522;0.239492;0.000542522
0.879765;0.640274;0.239492;0.000640274
0.977517;0.733138;0.244379;0.000733138
1.07527;0.826002;0.249267;0.000826002
1.17302;0.923754;0.249267;0.000923754
1.27077;1.02151;0.249267;0.00102151
1.36852;1.11437;0.254154;0.00111437
1.46628;1.21212;0.254154;0.00121212
1.56403;1.30987;0.254154;0.00130987
1.66178;1.40274;0.259042;0.00140274
1.75953;1.50049;0.259042;0.00150049
1.85728;1.59335;0.26393;0.00159335
1.95503;1.6911;0.26393;0.0016911
2.05279;1.78886;0.26393;0.00178886
2.15054;1.88661;0.26393;0.00188661
2.24829;1.98436;0.26393;0.00198436
2.34604;2.07722;0.268817;0.00207722
2.44379;2.17498;0.268817;0.00217498
2.54154;2.27273;0.268817;0.00227273
2.6393;2.37048;0.268817;0.00237048
2.73705;2.46823;0.268817;0.00246823
2.8348;2.56598;0.268817;0.00256598
2.93255;2.66373;0.268817;0.00266373
3.0303;2.76149;0.268817;0.00276149
3.12805;2.85924;0.268817;0.00285924
3.22581;2.9521;0.273705;0.0029521
3.32356;3.04985;0.273705;0.00304985
3.42131;3.14761;0.273705;0.00314761
3.51906;3.24536;0.273705;0.00324536
3.61681;3.34311;0.273705;0.00334311
3.71457;3.44086;0.273705;0.00344086
3.81232;3.53861;0.273705;0.00353861
3.91007;3.63636;0.273705;0.00363636
4.00782;3.72923;0.278592;0.00372923
4.10557;3.82698;0.278592;0.00382698
4.20332;3.92962;0.273705;0.00392962
4.30108;4.02248;0.278592;0.00402248
4.39883;4.12023;0.278592;0.00412023
4.49658;4.21799;0.278592;0.00421799
4.59433;4.31574;0.278592;0.00431574
4.69208;4.41349;0.278592;0.00441349
4.78983;4.51124;0.278592;0.00451124
4.88759;4.60411;0.28348;0.00460411
4.98534;4.70674;0.278592;0.00470674
