# in; out; diff; current
0;0;0;0
0.0977517;0.0391007;0.058651;3.91007e-05
0.195503;0.0879765;0.107527;8.79765e-05
0.293255;0.136852;0.156403;0.000136852
0.391007;0.185728;0.205279;0.000185728
0.488759;0.234604;0.254154;0.000234604
0.58651;0.28348;0.30303;0.00028348
0.684262;0.332356;0.351906;0.000332356
0.782014;0.386119;0.395894;0.000386119
0.879765;0.430108;0.449658;0.000430108
0.977517;0.483871;0.493646;0.000483871
1.07527;0.527859;0.54741;0.000527859
1.17302;0.576735;0.596285;0.000576735
1.27077;0.625611;0.645161;0.000625611
1.36852;0.674487;0.694037;0.000674487
1.46628;0.723363;0.742913;0.000723363
1.56403;0.772239;0.791789;0.000772239
1.66178;0.821114;0.840665;0.000821114
1.75953;0.86999;0.889541;0.00086999
1.85728;0.918866;0.938416;0.000918866
1.95503;0.967742;0.987292;0.000967742
2.05279;1.01662;1.03617;0.00101662
2.15054;1.06549;1.08504;0.00106549
2.24829;1.11437;1.13392;0.00111437
2.34604;1.16325;1.1828;0.00116325
2.44379;1.21212;1.23167;0.00121212
2.54154;1.261;1.28055;0.001261
2.6393;1.30987;1.32942;0.00130987
2.73705;1.35875;1.3783;0.00135875
2.8348;1.40762;1.42717;0.00140762
2.93255;1.4565;1.47605;0.0014565
3.0303;1.50538;1.52493;0.00150538
3.12805;1.55425;1.5738;0.00155425
3.22581;1.60313;1.62268;0.00160313
3.32356;1.652;1.67155;0.001652
3.42131;1.70088;1.72043;0.00170088
3.51906;1.74976;1.76931;0.00174976
3.61681;1.79863;1.81818;0.00179863
3.71457;1.84751;1.86706;0.00184751
3.81232;1.89638;1.91593;0.00189638
3.91007;1.94526;1.96481;0.00194526
4.00782;1.99413;2.01369;0.00199413
4.10557;2.04301;2.06256;0.00204301
4.20332;2.09189;2.11144;0.00209189
4.30108;2.14076;2.16031;0.00214076
4.39883;2.18964;2.20919;0.00218964
4.49658;2.23851;2.25806;0.00223851
4.59433;2.28739;2.30694;0.00228739
4.69208;2.33627;2.35582;0.00233627
4.78983;2.39003;2.3998;0.00239003
4.88759;2.43402;2.45357;0.00243402
4.98534;2.48289;2.50244;0.00248289
