# in0; in1; out0; out1; out2; out3; currentDrain
0;1;0;0;0.97263;0.997067;0
0.5;1;0.493646;0.0342131;0.97263;0.997067;0.00306289
1;1;0.99218;0.083089;0.97263;0.99218;0.00606061
1.5;1;1.49071;0.131965;0.97263;0.99218;0.00905833
2;1;1.99413;0.190616;0.97263;0.997067;0.0120235
2.5;1;2.49756;0.254154;0.97263;0.997067;0.014956
3;1;2.99609;0.347019;0.977517;0.997067;0.0176605
3.5;1;3.5044;0.493646;0.977517;0.997067;0.0200717
4;1;4.00293;0.801564;0.97263;0.997067;0.0213425
4.5;1;4.50147;1.26588;0.977517;0.997067;0.0215705
5;1;5;1.75953;0.977517;0.997067;0.0216031
