# in0; in1; out0; out1; out2; out3; currentDrain
0;3;0;0;2.72727;3.00098;0
0.5;3;0.483871;0.0146628;2.72727;3.00098;0.000837872
1;3;0.982405;0.0439883;2.72727;3.00098;0.00167574
1.5;3;1.48094;0.0733138;2.72727;3.00098;0.00251362
2;3;1.98436;0.107527;2.72727;3.00098;0.00335149
2.5;3;2.48778;0.146628;2.72727;2.99609;0.00418063
3;3;2.98631;0.185728;2.72727;3.00098;0.00500105
3.5;3;3.49462;0.239492;2.72727;3.00098;0.00581274
4;3;3.98827;0.317693;2.72727;3.00098;0.0065546
4.5;3;4.4868;0.493646;2.72727;3.00098;0.00713064
5;3;4.98534;0.904203;2.72727;3.00098;0.00728774
